geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Wichita,driving,NA,Kansas,United States,2020-01-13,100
city,Wichita,driving,NA,Kansas,United States,2020-01-14,104.78
city,Wichita,driving,NA,Kansas,United States,2020-01-15,105.49
city,Wichita,driving,NA,Kansas,United States,2020-01-16,105.77
city,Wichita,driving,NA,Kansas,United States,2020-01-17,118.36
city,Wichita,driving,NA,Kansas,United States,2020-01-18,128.72
city,Wichita,driving,NA,Kansas,United States,2020-01-19,83.16
city,Wichita,driving,NA,Kansas,United States,2020-01-20,103.75
city,Wichita,driving,NA,Kansas,United States,2020-01-21,100.1
city,Wichita,driving,NA,Kansas,United States,2020-01-22,91.29
city,Wichita,driving,NA,Kansas,United States,2020-01-23,101.35
city,Wichita,driving,NA,Kansas,United States,2020-01-24,131.01
city,Wichita,driving,NA,Kansas,United States,2020-01-25,132.34
city,Wichita,driving,NA,Kansas,United States,2020-01-26,79.17
city,Wichita,driving,NA,Kansas,United States,2020-01-27,98.81
city,Wichita,driving,NA,Kansas,United States,2020-01-28,87.72
city,Wichita,driving,NA,Kansas,United States,2020-01-29,98.23
city,Wichita,driving,NA,Kansas,United States,2020-01-30,106.63
city,Wichita,driving,NA,Kansas,United States,2020-01-31,127.65
city,Wichita,driving,NA,Kansas,United States,2020-02-01,132.21
city,Wichita,driving,NA,Kansas,United States,2020-02-02,81.16
city,Wichita,driving,NA,Kansas,United States,2020-02-03,96.04
city,Wichita,driving,NA,Kansas,United States,2020-02-04,97.28
city,Wichita,driving,NA,Kansas,United States,2020-02-05,96.03
city,Wichita,driving,NA,Kansas,United States,2020-02-06,103.94
city,Wichita,driving,NA,Kansas,United States,2020-02-07,122.31
city,Wichita,driving,NA,Kansas,United States,2020-02-08,130.6
city,Wichita,driving,NA,Kansas,United States,2020-02-09,87.05
city,Wichita,driving,NA,Kansas,United States,2020-02-10,100.05
city,Wichita,driving,NA,Kansas,United States,2020-02-11,106.3
city,Wichita,driving,NA,Kansas,United States,2020-02-12,92.61
city,Wichita,driving,NA,Kansas,United States,2020-02-13,109.43
city,Wichita,driving,NA,Kansas,United States,2020-02-14,140.06
city,Wichita,driving,NA,Kansas,United States,2020-02-15,150.57
city,Wichita,driving,NA,Kansas,United States,2020-02-16,101.82
city,Wichita,driving,NA,Kansas,United States,2020-02-17,111.93
city,Wichita,driving,NA,Kansas,United States,2020-02-18,112.09
city,Wichita,driving,NA,Kansas,United States,2020-02-19,106.73
city,Wichita,driving,NA,Kansas,United States,2020-02-20,113.77
city,Wichita,driving,NA,Kansas,United States,2020-02-21,134.8
city,Wichita,driving,NA,Kansas,United States,2020-02-22,144.28
city,Wichita,driving,NA,Kansas,United States,2020-02-23,88.78
city,Wichita,driving,NA,Kansas,United States,2020-02-24,102.56
city,Wichita,driving,NA,Kansas,United States,2020-02-25,103.18
city,Wichita,driving,NA,Kansas,United States,2020-02-26,111.04
city,Wichita,driving,NA,Kansas,United States,2020-02-27,124.41
city,Wichita,driving,NA,Kansas,United States,2020-02-28,151
city,Wichita,driving,NA,Kansas,United States,2020-02-29,157.6
city,Wichita,driving,NA,Kansas,United States,2020-03-01,98.34
city,Wichita,driving,NA,Kansas,United States,2020-03-02,108.32
city,Wichita,driving,NA,Kansas,United States,2020-03-03,114.9
city,Wichita,driving,NA,Kansas,United States,2020-03-04,113.55
city,Wichita,driving,NA,Kansas,United States,2020-03-05,123.42
